DOE — Experimentación Numérica | Algoritmo: ALNS | 2026-05-04 15:55																				
Fitness Score = 10×A  ?  0.005×Ecap  ?  2×Dh  ?  12×Saero   |   10 iteraciones por nivel																				
																				
Ejecución	Nivel	Maletas DOE	Maletas Reales	Fitness Score	Cumplimiento %	Ocupación %	Lead Time (h)	Sat. Aero %	Maletas Atend.	Ecap	Rutas Totales	Rutas Atend.	Rutas No Atend.	Máx. Cap. Ruta	Avg Cap. Ruta	T. Planificación (ms)	T. Simulación (ms)	T. Total (ms)	CPU %	Memoria (MB)
? Caso Mínimo de Envíos  ·  690 maletas  ·  Fecha: 2026-01-02																				
1	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5214	1	5215	7.1	80.4
2	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5376	2	5378	16.3	66.1
3	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5433	2	5435	11	56.5
4	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5180	1	5181	10.1	115.5
5	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5497	2	5499	13.2	68.3
6	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5073	2	5075	11.4	73.9
7	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5367	1	5368	14.1	131.6
8	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5359	1	5360	11.1	89.4
9	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5068	1	5069	15.8	158.2
10	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5537	1	5538	11.5	122.1
MEDIA	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	5310.4	1.4	5311.8	12.16	96.2
DESV. EST.	Caso Mínimo de Envíos	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?
																				
? Caso Intermedio Inferior  ·  8441 maletas  ·  Fecha: 2026-11-15																				
1	Caso Intermedio Inferior	8441	8441	-31813.8	100	0.9	23.8	0	8441	0	845	845	0	33	10	5381	2	5383	16.9	145.9
2	Caso Intermedio Inferior	8441	8441	-31813.8	100	0.9	23.8	0	8441	0	845	845	0	33	10	5351	3	5354	12.4	138.6
3	Caso Intermedio Inferior	8441	8441	-31813.8	100	0.9	23.8	0	8441	0	845	845	0	33	10	6524	3	6527	11.7	150.1
4	Caso Intermedio Inferior	8441	8441	-31813.8	100	0.9	23.8	0	8441	0	845	845	0	33	10	5996	3	5999	10.4	120
5	Caso Intermedio Inferior	8441	8441	-31813.8	100	0.9	23.8	0	8441	0	845	845	0	33	10	6983	3	6986	11.3	147
6	Caso Intermedio Inferior	8441	8441	-31813.8	100	0.9	23.8	0	8441	0	845	845	0	33	10	6019	3	6022	15.1	157.5
