DOE — Experimentación Numérica | Algoritmo: HGA | 2026-05-04 16:29																				
Fitness Score = 10×A  ?  0.005×Ecap  ?  2×Dh  ?  12×Saero   |   10 iteraciones por nivel																				
																				
Ejecución	Nivel	Maletas DOE	Maletas Reales	Fitness Score	Cumplimiento %	Ocupación %	Lead Time (h)	Sat. Aero %	Maletas Atend.	Ecap	Rutas Totales	Rutas Atend.	Rutas No Atend.	Máx. Cap. Ruta	Avg Cap. Ruta	T. Planificación (ms)	T. Simulación (ms)	T. Total (ms)	CPU %	Memoria (MB)
? Caso Mínimo de Envíos  ·  690 maletas  ·  Fecha: 2026-01-02																				
1	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18154	2	18156	6.7	201
2	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18081	2	18083	11.9	78.1
3	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18254	1	18255	14.3	95.1
4	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18228	1	18229	11.1	228
5	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18164	1	18165	11.3	146
6	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18625	2	18627	12.5	127.9
7	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18231	1	18232	13.7	135.6
8	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18646	1	18647	12.7	273.4
9	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18559	1	18560	11.9	91.3
10	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18765	2	18767	15.5	262.2
MEDIA	Caso Mínimo de Envíos	690	690	-14143.23	100	0.1	24.1	0	690	0	371	371	0	7	1.9	18370.7	1.4	18372.1	12.16	163.86
DESV. EST.	Caso Mínimo de Envíos	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?
																				
? Caso Intermedio Inferior  ·  8441 maletas  ·  Fecha: 2026-11-15																				
1	Caso Intermedio Inferior	8441	8441	-31813.8	100	0.9	23.8	0	8441	0	845	845	0	33	10	43801	3	43804	16.9	85.8
2	Caso Intermedio Inferior	8441	8441	-31813.8	100	0.9	23.8	0	8441	0	845	845	0	33	10	42199	3	42202	10.6	127.7
3	Caso Intermedio Inferior	8441	8441	-31813.8	100	0.9	23.8	0	8441	0	845	845	0	33	10	42426	3	42429	10.3	88.9
